Job_id,Title,Vacancy URL,Company ID,Published,End_date,Salary Range min,Salary Range max,Location ID,company_id,Company name,Company URL,location_id,City,Region,Country
1,Middle+/Senior Business Analyst,https://www.cv.lv/lv/vacancy/986697/dataart-ltd/middle-senior-business-analyst,1,2023-04-18,17.05.2023,3500.0,4000.0,1,1,DataArt Ltd,https://www.cv.lv/lv/search/employer/dataart-ltd?employerId=68947&employerName=DataArt Ltd,1, Rīga, Rīgas rajons,Latvia
2,Partner Performance Analyst (for a fixed period 1 year),https://www.cv.lv/lv/vacancy/994377/tele2-sia/partner-performance-analyst-for-a-fixed-period-1-year,2,2023-05-10,17.05.2023,2000.0,,1,2,Tele2 SIA,https://www.cv.lv/lv/search/employer/tele2-sia?employerId=25311&employerName=Tele2 SIA,1, Rīga, Rīgas rajons,Latvia
3,Junior Web Analytics,https://www.cv.lv/lv/vacancy/986160/scandiweb/junior-web-analytics,3,2023-05-16,17.05.2023,1200.0,1800.0,1,3,scandiweb,https://www.cv.lv/lv/search/employer/scandiweb?employerId=29385&employerName=scandiweb,1, Rīga, Rīgas rajons,Latvia
4,ANALĪTIĶIS/-E Maksājumu pakalpojumu sniedzēju uzraudzības grupā,https://www.cv.lv/lv/vacancy/986243/rietumu-banka-as/analitikis-e-maksajumu-pakalpojumu-sniedzeju-uzraudzibas-grupa,4,2023-05-16,17.05.2023,1500.0,2200.0,1,4,Rietumu Banka AS,https://www.cv.lv/lv/search/employer/rietumu-banka-as?employerId=9157&employerName=Rietumu Banka AS,1, Rīga, Rīgas rajons,Latvia
5,Data Engineer,https://www.cv.lv/lv/vacancy/986233/epic-frog/data-engineer,5,2023-05-16,17.05.2023,2845.0,4300.0,1,5,Epic Frog,https://www.cv.lv/lv/search/employer/epic-frog?employerId=65312&employerName=Epic Frog,1, Rīga, Rīgas rajons,Latvia
6,Financial Analyst (Consolidation Specialist),https://www.cv.lv/lv/vacancy/986571/amber-beverage-group-sia/financial-analyst-consolidation-specialist,6,2023-05-16,17.05.2023,1900.0,2200.0,1,6,Amber Beverage Group SIA,https://www.cv.lv/lv/search/employer/amber-beverage-group-sia?employerId=10275&employerName=Amber Beverage Group SIA,1, Rīga, Rīgas rajons,Latvia
7,Analyst in Financial Crime Data Analytics & Technology Team,https://www.cv.lv/lv/vacancy/985931/ernst-un-young-baltic-sia/analyst-in-financial-crime-data-analytics-un-technology-team,7,2023-04-17,17.05.2023,1700.0,2300.0,1,7,Ernst & Young Baltic SIA,https://www.cv.lv/lv/search/employer/ernst-un-young-baltic-sia?employerId=26642&employerName=Ernst & Young Baltic SIA,1, Rīga, Rīgas rajons,Latvia
8,Merchant Onboarding Specialist – Compliance Analyst,https://www.cv.lv/lv/vacancy/986003/sia-dynatech/merchant-onboarding-specialist-compliance-analyst,8,2023-04-17,17.05.2023,2000.0,,1,8,"SIA ""Dynatech""","https://www.cv.lv/lv/search/employer/sia-dynatech?employerId=30946&employerName=SIA ""Dynatech""",1, Rīga, Rīgas rajons,Latvia
9,KLIENTU DARĪJUMU ANALĪTIĶIS (KYC STRUKTŪRVIENĪBĀ),https://www.cv.lv/lv/vacancy/986190/industra-bank/klientu-darijumu-analitikis-kyc-strukturvieniba,9,2023-05-16,17.05.2023,1600.0,,1,9,Industra Bank,https://www.cv.lv/lv/search/employer/industra-bank?employerId=27357&employerName=Industra Bank,1, Rīga, Rīgas rajons,Latvia
10,Business Analyst,https://www.cv.lv/lv/vacancy/994865/swedbank-as/business-analyst,10,2023-05-16,17.05.2023,2400.0,3600.0,1,10,Swedbank AS,https://www.cv.lv/lv/search/employer/swedbank-as?employerId=29215&employerName=Swedbank AS,1, Rīga, Rīgas rajons,Latvia
11,Financial Analyst,https://www.cv.lv/lv/vacancy/986231/epic-frog/financial-analyst,5,2023-05-16,17.05.2023,2200.0,2850.0,1,5,Epic Frog,https://www.cv.lv/lv/search/employer/epic-frog?employerId=65312&employerName=Epic Frog,1, Rīga, Rīgas rajons,Latvia
12,Biznesa attīstības analītiķis/e,https://www.cv.lv/lv/vacancy/986304/ab-city-as/biznesa-attistibas-analitikis-e,11,2023-04-18,18.05.2023,2500.0,3500.0,1,11,AB CITY AS,https://www.cv.lv/lv/search/employer/ab-city-as?employerId=71535&employerName=AB CITY AS,1, Rīga, Rīgas rajons,Latvia
13,Sistēmanalītiķis/-e,https://www.cv.lv/lv/vacancy/987250/workingday-latvia/sistemanalitikis-e,12,2023-04-18,18.05.2023,2900.0,4000.0,1,12,WorkingDay Latvia,https://www.cv.lv/lv/search/employer/workingday-latvia?employerId=1205&employerName=WorkingDay Latvia,1, Rīga, Rīgas rajons,Latvia
14,Senior ICT Risk Analyst,https://www.cv.lv/lv/vacancy/968600/alliance-for-recruitment/senior-ict-risk-analyst,13,,18.05.2023,2720.0,4080.0,2,13,Alliance for Recruitment,https://www.cv.lv/lv/search/employer/alliance-for-recruitment?employerId=16025&employerName=Alliance for Recruitment,2,,,Lithuania
15,WEB PRODUCT ANALYST,https://www.cv.lv/lv/vacancy/986807/agcsoft-sia/web-product-analyst,14,2023-05-09,18.05.2023,2200.0,,1,14,AGCSOFT SIA,https://www.cv.lv/lv/search/employer/agcsoft-sia?employerId=66129&employerName=AGCSOFT SIA,1, Rīga, Rīgas rajons,Latvia
16,DATA ENGINEER,https://www.cv.lv/lv/vacancy/986928/kpmg-baltics-sia/data-engineer,15,2023-04-18,18.05.2023,2000.0,4000.0,1,15,KPMG Baltics SIA,https://www.cv.lv/lv/search/employer/kpmg-baltics-sia?employerId=26749&employerName=KPMG Baltics SIA,1, Rīga, Rīgas rajons,Latvia
17,Information Security Risk Analyst,https://www.cv.lv/lv/vacancy/968566/alliance-for-recruitment/information-security-risk-analyst,13,,18.05.2023,2460.0,3680.0,3,13,Alliance for Recruitment,https://www.cv.lv/lv/search/employer/alliance-for-recruitment?employerId=16025&employerName=Alliance for Recruitment,3,,,Latvia
18,ICT Risk Analyst,https://www.cv.lv/lv/vacancy/968598/alliance-for-recruitment/ict-risk-analyst,13,,18.05.2023,2460.0,3680.0,2,13,Alliance for Recruitment,https://www.cv.lv/lv/search/employer/alliance-for-recruitment?employerId=16025&employerName=Alliance for Recruitment,2,,,Lithuania
19,"Senior DevOps (AWS), Data Project",https://www.cv.lv/lv/vacancy/987418/dataart-ltd/senior-devops-aws-data-project,1,2023-04-18,18.05.2023,4000.0,4300.0,1,1,DataArt Ltd,https://www.cv.lv/lv/search/employer/dataart-ltd?employerId=68947&employerName=DataArt Ltd,1, Rīga, Rīgas rajons,Latvia
20,Senior Information Security Risk Analyst,https://www.cv.lv/lv/vacancy/968559/alliance-for-recruitment/senior-information-security-risk-analyst,13,,18.05.2023,2720.0,4080.0,3,13,Alliance for Recruitment,https://www.cv.lv/lv/search/employer/alliance-for-recruitment?employerId=16025&employerName=Alliance for Recruitment,3,,,Latvia
21,JUNIOR SPORT RISK ANALYST,https://www.cv.lv/lv/vacancy/987802/osauhing-tonybet/junior-sport-risk-analyst,16,2023-04-19,19.05.2023,1300.0,1500.0,1,16,Osaühing Tonybet,https://www.cv.lv/lv/search/employer/osauhing-tonybet?employerId=30704&employerName=Osaühing Tonybet,1, Rīga, Rīgas rajons,Latvia
22,SPORT RISK ANALYST,https://www.cv.lv/lv/vacancy/987798/osauhing-tonybet/sport-risk-analyst,16,2023-04-19,19.05.2023,1800.0,2700.0,1,16,Osaühing Tonybet,https://www.cv.lv/lv/search/employer/osauhing-tonybet?employerId=30704&employerName=Osaühing Tonybet,1, Rīga, Rīgas rajons,Latvia
23,Datortehniķis,https://www.cv.lv/lv/vacancy/987713/baltic-data-sia/datortehnikis,17,2023-04-19,19.05.2023,800.0,1300.0,1,17,Baltic Data SIA,https://www.cv.lv/lv/search/employer/baltic-data-sia?employerId=29064&employerName=Baltic Data SIA,1, Rīga, Rīgas rajons,Latvia
